taxon_id,radius,date,count
60997,200,2022-08-31,300
283890,200,2022-08-31,196
76907,200,2022-08-31,1629
79409,200,2022-08-31,365
57500,200,2022-08-31,2273
131203,200,2022-08-31,766
61948,200,2022-08-31,1126
62338,200,2022-08-31,2055
61321,200,2022-08-31,1081
64162,200,2022-08-31,571
58722,200,2022-08-31,3684
79408,200,2022-08-31,506
841645,200,2022-08-31,896
47435,200,2022-08-31,1434
69814,200,2022-08-31,573
52724,200,2022-08-31,1764
485803,200,2022-08-31,491
204260,200,2022-08-31,2071
127960,200,2022-08-31,673
84031,200,2022-08-31,638
118850,200,2022-08-31,1918
76480,200,2022-08-31,266
402509,200,2022-08-31,526
56077,200,2022-08-31,1475
55022,200,2022-08-31,166
117299,200,2022-08-31,1727
59029,200,2022-08-31,572
58127,200,2022-08-31,1436
55967,200,2022-08-31,552
55909,200,2022-08-31,1206
60076,200,2022-08-31,445
447878,200,2022-08-31,1134
79441,200,2022-08-31,3348
67808,200,2022-08-31,1706
52989,200,2022-08-31,2618
55411,200,2022-08-31,449
52135,200,2022-08-31,34
56312,200,2022-08-31,1356
51893,200,2022-08-31,267
161868,200,2022-08-31,47
52592,200,2022-08-31,250
50298,200,2022-08-31,2516
126756,200,2022-08-31,1842
437967,200,2022-08-31,458
716947,200,2022-08-31,467
77914,200,2022-08-31,223
62236,200,2022-08-31,152
163793,200,2022-08-31,96
69613,200,2022-08-31,1068
132622,200,2022-08-31,698
77780,200,2022-08-31,148
48196,200,2022-08-31,374
793795,200,2022-08-31,239
82564,200,2022-08-31,1940
52669,200,2022-08-31,1516
51736,200,2022-08-31,2798
82572,200,2022-08-31,450
170239,200,2022-08-31,77
64055,200,2022-08-31,193
85492,200,2022-08-31,401
208852,200,2022-08-31,683
158380,200,2022-08-31,2355
55830,200,2022-08-31,3947
55969,200,2022-08-31,1506
55972,200,2022-08-31,1212
165499,200,2022-08-31,94
63802,200,2022-08-31,18
164948,200,2022-08-31,200
125903,200,2022-08-31,15
127029,200,2022-08-31,1467
58725,200,2022-08-31,783
78288,200,2022-08-31,475
51741,20,2022-08-31,39
127345,20,2022-08-31,26
132600,20,2022-08-31,31
55757,20,2022-08-31,68
79125,20,2022-08-31,21
204168,20,2022-08-31,6
52436,20,2022-08-31,4
159764,20,2022-08-31,17
56063,20,2022-08-31,48
